State,Total Population,"Hispanic, regardless of race","White, non-Hispanic","Black, non-Hispanic","Asian, non-Hispanic","Native  Hawaiian/Pacific Islander,non-Hispanic","American Indian/Alaska Native, non-Hispanic","Two or more races, non-Hispanic"
Alabama,45000,0,78.8,18.6,0,0,0,0.5
Alaska,7500,0,85.7,0,0,0,7.4,2.4
Arizona,61700,13.1,80.1,2.8,1.7,0,1.3,0.9
Arkansas,37700,0,82.3,13.6,0,0,0,1.9
California,285500,17.2,70.5,3.2,6.1,0.3,0.2,2.5
Colorado,55900,7.0,88.3,0,0,0,0,1.5
Connecticut,44900,3.4,92.9,2.7,0,0,0,0
Delaware,9300,5.7,84.7,9.3,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,0
Georgia,123300,2.5,76.2,17.1,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0
Idaho,16300,3.1,92.7,0,0,0,0,0
Illinois,140900,7.1,83.3,7.1,1.2,0,0,0.9
Indiana,64000,2.7,92.6,4.2,0,0,0,0
Iowa,36100,0,98.7,0,0,0,0,0
Kansas,36500,1.6,95.3,0,0,0,0,0
Kentucky,46800,0,94.5,4.2,0,0,0,0
Louisiana,44500,0,74.4,19.9,0,0,0,1.3
Maine,18400,1.9,97.1,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0
Massachusetts,79200,1.3,96.6,0,0,0,0,0
Michigan,96700,2.1,92.1,4.2,0.7,0,0,0.9
Minnesota,62300,1.0,95.3,1.7,1.0,0,0,0.9
Mississippi,37600,0,73.3,25.0,0,0,0,0
Missouri,68700,0.6,90.6,6.7,0,0,0,1.3
Montana,12400,0,95.9,0,0,0,0,1.1
Nebraska,23900,2.1,96.8,0,0,0,0,0
Nevada,25200,9.5,80.5,3.6,0,0,0,0
New Hampshire,15700,0,97.8,0,0,0,0,0
New Jersey,125200,9.3,82.2,6.6,1.4,0,0,0.5
New Mexico,21700,36.6,56.7,0,0.9,0,3.0,0
New York,241400,9.8,76.3,8.6,3.4,0,0,1.2
North Carolina,104300,2.7,84.1,10.4,0,0,0,0
North Dakota,10300,0,96.2,0,0,0,0,0
Ohio,122100,1.6,92.6,5.0,0.3,0,0,0
Oklahoma,46200,1.1,82.0,3.5,0,0,8.6,4.5
Oregon,31800,5.7,88.6,0,0,0,0,1.4
Pennsylvania,148800,2.1,95.7,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0
South Carolina,51800,2.1,81.3,15.5,0,0,0,0
South Dakota,10800,0,98.3,0,0,0,0,0
Tennessee,76500,2.8,91.3,5.2,0,0,0,0
Texas,350800,23.1,65.3,9.0,0,0,0,0
Utah,27900,0.5,97.1,0,0,0,0,0.6
Vermont,9400,0,97.1,0,0,0,0,1.1
Virginia,88500,2.5,85.4,9.7,1.5,0,0,0.9
Washington,55500,3.8,87.0,0,3.6,0,0.1,3.2
West Virginia,24200,0,98.0,0,0,0,0,0
Wisconsin,66800,0,96.3,0,0,0,0,0
Wyoming,8500,4.8,91.0,0,0,0,0,0
